Reason for absence,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Education,Social drinker,Weight,Height,Body mass index,Absenteeism time in hours,class
22,3,2,235,11,14,37,"244,387",98,3,0,88,172,29,8,2
22,3,3,179,22,17,40,"244,387",98,2,0,63,170,22,8,2
22,3,3,378,49,11,36,"244,387",98,1,0,65,174,21,8,2
28,3,2,179,51,18,38,"244,387",98,1,1,89,170,31,16,2
22,3,4,361,52,3,28,"244,387",98,1,1,80,172,27,8,2
0,3,4,369,17,12,31,"244,387",98,1,1,70,169,25,0,2
21,3,5,235,11,14,37,"244,387",98,3,0,88,172,29,8,2
23,3,6,118,13,18,50,"244,387",98,1,1,98,178,31,2,3
14,3,3,118,13,18,50,"244,387",98,1,1,98,178,31,3,3
13,3,4,118,13,18,50,"244,387",98,1,1,98,178,31,8,3
0,3,5,235,11,14,37,"244,387",98,3,0,88,172,29,0,3
0,3,5,246,25,16,41,"244,387",98,1,1,67,170,23,0,3
0,3,5,118,13,18,50,"244,387",98,1,1,98,178,31,0,3
28,3,6,179,51,18,38,"244,387",98,1,1,89,170,31,8,3
22,3,6,289,36,13,33,"244,387",98,1,1,90,172,30,8,3
19,3,2,260,50,11,36,"244,387",98,1,1,65,168,23,8,3
28,3,3,246,25,16,41,"244,387",98,1,1,67,170,23,2,3
28,4,4,179,51,18,38,"239,409",98,1,1,89,170,31,4,3
28,4,6,260,50,11,36,"239,409",98,1,1,65,168,23,3,3
26,4,6,330,16,4,28,"239,409",98,2,0,84,182,25,4,3
22,4,2,369,17,12,31,"239,409",98,1,1,70,169,25,4,3
26,4,2,248,25,14,47,"239,409",98,1,0,86,165,32,4,3
23,4,4,330,16,4,28,"239,409",98,2,0,84,182,25,8,3
28,4,4,179,51,18,38,"239,409",98,1,1,89,170,31,8,3
23,4,2,118,13,18,50,"239,409",98,1,1,98,178,31,1,3
13,4,4,118,13,18,50,"239,409",98,1,1,98,178,31,120,3
28,4,6,300,26,13,43,"239,409",98,1,1,77,175,25,8,3
28,4,6,260,50,11,36,"239,409",98,1,1,65,168,23,4,3
28,4,2,179,51,18,38,"239,409",98,1,1,89,170,31,4,3
11,4,4,118,10,10,37,"239,409",98,1,0,83,172,28,2,3
13,5,2,235,20,13,43,"246,074",99,1,1,106,167,38,16,3
23,5,4,248,25,14,47,"246,074",99,1,0,86,165,32,2,3
10,5,2,369,17,12,31,"246,074",99,1,1,70,169,25,8,3
23,5,4,179,26,9,30,"246,074",99,3,0,56,171,19,3,3
28,5,4,179,51,18,38,"246,074",99,1,1,89,170,31,4,3
23,5,5,361,52,3,28,"246,074",99,1,1,80,172,27,1,3
28,5,6,260,50,11,36,"246,074",99,1,1,65,168,23,3,3
11,5,2,179,22,17,40,"246,074",99,2,0,63,170,22,2,3
8,5,2,179,22,17,40,"246,074",99,2,0,63,170,22,3,3
18,5,4,228,14,16,58,"246,074",99,1,0,65,172,22,8,3
25,5,4,225,26,9,28,"246,074",99,1,0,69,169,24,3,3
13,5,6,330,16,4,28,"246,074",99,2,0,84,182,25,8,3
25,5,2,179,26,9,30,"246,074",99,3,0,56,171,19,2,3
28,5,2,118,10,10,37,"246,074",99,1,0,83,172,28,1,3
1,5,2,235,11,14,37,"246,074",99,3,0,88,172,29,8,3
23,5,4,179,26,9,30,"246,074",99,3,0,56,171,19,3,3
23,6,2,118,10,10,37,"253,957",95,1,0,83,172,28,3,3
28,6,2,179,51,18,38,"253,957",95,1,1,89,170,31,3,3
28,6,3,118,10,10,37,"253,957",95,1,0,83,172,28,2,3
23,6,5,225,26,9,28,"253,957",95,1,0,69,169,24,4,3
28,6,6,260,50,11,36,"253,957",95,1,1,65,168,23,4,3
0,6,6,179,51,18,38,"253,957",95,1,1,89,170,31,0,3
13,6,2,291,31,12,40,"253,957",95,1,1,73,171,25,40,3
28,6,2,179,51,18,38,"253,957",95,1,1,89,170,31,24,3
28,6,3,246,25,16,41,"253,957",95,1,1,67,170,23,3,3
28,6,2,179,51,18,38,"253,957",95,1,1,89,170,31,4,3
26,6,3,235,20,13,43,"253,957",95,1,1,106,167,38,8,3
28,6,2,179,51,18,38,"253,957",95,1,1,89,170,31,2,1
23,6,4,225,26,9,28,"253,957",95,1,0,69,169,24,2,1
23,6,4,118,13,18,50,"253,957",95,1,1,98,178,31,2,1
5,6,4,179,51,18,38,"253,957",95,1,1,89,170,31,8,1
21,6,4,179,26,9,30,"253,957",95,3,0,56,171,19,2,1
28,6,6,246,25,16,41,"253,957",95,1,1,67,170,23,2,1
11,6,3,330,16,4,28,"253,957",95,2,0,84,182,25,1,1
13,6,3,235,11,14,37,"253,957",95,3,0,88,172,29,8,1
23,7,5,179,26,9,30,"230,290",92,3,0,56,171,19,2,1
25,7,5,225,26,9,28,"230,290",92,1,0,69,169,24,4,1
13,7,6,260,50,11,36,"230,290",92,1,1,65,168,23,8,1
7,7,2,268,11,8,33,"230,290",92,2,0,79,178,25,8,1
25,7,6,330,16,4,28,"230,290",92,2,0,84,182,25,8,1
26,7,6,118,10,10,37,"230,290",92,1,0,83,172,28,8,1
26,7,2,260,50,11,36,"230,290",92,1,1,65,168,23,4,1
28,7,3,118,10,10,37,"230,290",92,1,0,83,172,28,8,1
15,7,2,300,26,13,43,"230,290",92,1,1,77,175,25,8,1
23,7,2,235,29,12,48,"230,290",92,1,0,88,163,33,1,1
28,7,3,246,25,16,41,"230,290",92,1,1,67,170,23,2,1
9,7,3,225,26,9,28,"230,290",92,1,0,69,169,24,112,1
28,7,3,179,51,18,38,"230,290",92,1,1,89,170,31,1,1
23,7,6,118,13,18,50,"230,290",92,1,1,98,178,31,1,1
22,7,6,361,52,3,28,"230,290",92,1,1,80,172,27,8,1
22,7,2,289,36,13,33,"230,290",92,1,1,90,172,30,8,1
26,7,2,235,20,13,43,"230,290",92,1,1,106,167,38,8,1
28,7,3,246,25,16,41,"230,290",92,1,1,67,170,23,2,1
28,7,5,291,31,12,40,"230,290",92,1,1,73,171,25,1,1
23,7,5,279,5,14,39,"230,290",92,1,1,68,168,24,2,1
25,8,5,179,51,18,38,"249,797",93,1,1,89,170,31,4,1
25,8,2,179,22,17,40,"249,797",93,2,0,63,170,22,1,1
28,8,3,246,25,16,41,"249,797",93,1,1,67,170,23,4,1
28,8,3,118,10,10,37,"249,797",93,1,0,83,172,28,4,1
26,8,3,289,36,13,33,"249,797",93,1,1,90,172,30,8,1
26,8,3,235,20,13,43,"249,797",93,1,1,106,167,38,8,1
28,8,5,291,31,12,40,"249,797",93,1,1,73,171,25,4,1
25,8,2,179,51,18,38,"249,797",93,1,1,89,170,31,4,1
25,8,3,179,22,17,40,"249,797",93,2,0,63,170,22,8,1
23,8,5,330,16,4,28,"249,797",93,2,0,84,182,25,16,1
23,8,3,235,11,14,37,"249,797",93,3,0,88,172,29,4,1
28,8,3,246,25,16,41,"249,797",93,1,1,67,170,23,1,1
28,8,3,118,10,10,37,"249,797",93,1,0,83,172,28,5,1
28,8,5,291,31,12,40,"249,797",93,1,1,73,171,25,2,1
28,8,2,260,50,11,36,"249,797",93,1,1,65,168,23,3,1
28,9,3,246,25,16,41,"261,756",87,1,1,67,170,23,1,1
28,9,3,246,25,16,41,"261,756",87,1,1,67,170,23,1,1
28,9,3,118,10,10,37,"261,756",87,1,0,83,172,28,3,1
23,9,3,155,12,14,34,"261,756",87,1,1,95,196,25,2,1
28,9,5,291,31,12,40,"261,756",87,1,1,73,171,25,2,1
23,9,6,179,26,9,30,"261,756",87,3,0,56,171,19,8,1
23,9,6,248,25,14,47,"261,756",87,1,0,86,165,32,1,1
23,9,2,179,51,18,38,"261,756",87,1,1,89,170,31,4,1
23,9,4,225,26,9,28,"261,756",87,1,0,69,169,24,1,1
23,9,2,179,26,9,30,"261,756",87,3,0,56,171,19,2,1
23,9,3,369,17,12,31,"261,756",87,1,1,70,169,25,8,4
22,9,3,361,52,3,28,"261,756",87,1,1,80,172,27,8,4
4,10,5,289,48,29,49,"284,853",91,1,0,108,172,36,1,4
11,10,5,235,16,8,32,"284,853",91,3,0,75,178,25,3,4
26,10,6,246,25,16,41,"284,853",91,1,1,67,170,23,8,4
14,10,4,289,48,29,49,"284,853",91,1,0,108,172,36,3,4
28,10,4,291,31,12,40,"284,853",91,1,1,73,171,25,2,4
23,10,3,118,10,10,37,"284,853",91,1,0,83,172,28,2,4
23,10,5,289,48,29,49,"284,853",91,1,0,108,172,36,2,4
23,10,6,291,31,12,40,"284,853",91,1,1,73,171,25,1,4
23,10,3,225,26,9,28,"284,853",91,1,0,69,169,24,2,4
23,10,3,369,17,12,31,"284,853",91,1,1,70,169,25,8,4
23,10,3,369,17,12,31,"284,853",91,1,1,70,169,25,3,4
23,10,3,225,26,9,28,"284,853",91,1,0,69,169,24,4,4
26,10,3,369,17,12,31,"284,853",91,1,1,70,169,25,8,4
28,10,4,179,51,18,38,"284,853",91,1,1,89,170,31,3,4
1,10,4,228,14,16,58,"284,853",91,1,0,65,172,22,1,4
23,10,4,291,31,12,40,"284,853",91,1,1,73,171,25,1,4
10,10,5,369,17,12,31,"284,853",91,1,1,70,169,25,8,4
13,10,5,225,26,9,28,"284,853",91,1,0,69,169,24,1,4
10,10,6,369,17,12,31,"284,853",91,1,1,70,169,25,8,4
10,10,6,225,26,9,28,"284,853",91,1,0,69,169,24,3,4
23,10,2,189,29,13,33,"284,853",91,1,0,69,167,25,8,4
6,10,2,235,16,8,32,"284,853",91,3,0,75,178,25,8,4
10,10,2,248,25,14,47,"284,853",91,1,0,86,165,32,8,4
0,10,2,225,26,9,28,"284,853",91,1,0,69,169,24,0,4
13,10,3,225,26,9,28,"284,853",91,1,0,69,169,24,3,4
21,11,3,179,51,18,38,"268,519",93,1,1,89,170,31,1,4
28,11,4,118,10,10,37,"268,519",93,1,0,83,172,28,3,4
2,11,4,330,16,4,28,"268,519",93,2,0,84,182,25,24,4
28,11,6,179,51,18,38,"268,519",93,1,1,89,170,31,1,4
9,11,3,118,10,10,37,"268,519",93,1,0,83,172,28,8,4
24,11,4,289,36,13,33,"268,519",93,1,1,90,172,30,8,4
1,11,6,235,16,8,32,"268,519",93,3,0,75,178,25,8,4
23,11,6,225,26,9,28,"268,519",93,1,0,69,169,24,4,4
22,11,3,361,52,3,28,"268,519",93,1,1,80,172,27,8,4
28,11,4,291,31,12,40,"268,519",93,1,1,73,171,25,2,4
13,11,5,118,10,10,37,"268,519",93,1,0,83,172,28,2,4
14,11,5,225,26,9,28,"268,519",93,1,0,69,169,24,3,4
28,11,2,179,51,18,38,"268,519",93,1,1,89,170,31,1,4
23,11,2,118,10,10,37,"268,519",93,1,0,83,172,28,8,4
8,11,3,118,10,10,37,"268,519",93,1,0,83,172,28,8,4
23,11,3,225,26,9,28,"268,519",93,1,0,69,169,24,2,4
0,11,3,291,31,12,40,"268,519",93,1,1,73,171,25,0,4
0,11,4,289,36,13,33,"268,519",93,1,1,90,172,30,0,4
14,11,5,248,25,14,47,"268,519",93,1,0,86,165,32,4,4
0,11,5,235,20,13,43,"268,519",93,1,1,106,167,38,0,4
23,11,6,225,26,9,28,"268,519",93,1,0,69,169,24,2,4
26,11,6,369,17,12,31,"268,519",93,1,1,70,169,25,8,4
28,11,2,361,52,3,28,"268,519",93,1,1,80,172,27,2,4
13,12,3,179,51,18,38,"280,549",98,1,1,89,170,31,32,4
28,12,4,291,31,12,40,"280,549",98,1,1,73,171,25,1,4
23,12,4,225,26,9,28,"280,549",98,1,0,69,169,24,3,4
13,12,6,179,26,9,30,"280,549",98,3,0,56,171,19,1,4
23,12,6,225,26,9,28,"280,549",98,1,0,69,169,24,3,4
23,12,4,225,26,9,28,"280,549",98,1,0,69,169,24,3,4
14,12,5,361,52,3,28,"280,549",98,1,1,80,172,27,4,4
18,12,6,179,22,17,40,"280,549",98,2,0,63,170,22,2,4
26,12,6,235,20,13,43,"280,549",98,1,1,106,167,38,8,4
18,12,2,233,51,1,31,"280,549",98,2,1,68,178,21,8,4
13,12,3,179,26,9,30,"280,549",98,3,0,56,171,19,16,4
23,12,3,225,26,9,28,"280,549",98,1,0,69,169,24,2,4
23,12,5,225,26,9,28,"280,549",98,1,0,69,169,24,3,4
23,12,2,225,26,9,28,"280,549",98,1,0,69,169,24,2,4
18,12,3,155,12,14,34,"280,549",98,1,1,95,196,25,80,2
12,1,2,179,26,9,30,"313,532",96,3,0,56,171,19,24,2
12,1,5,179,26,9,30,"313,532",96,3,0,56,171,19,16,2
25,1,5,179,22,17,40,"313,532",96,2,0,63,170,22,2,2
25,1,6,179,22,17,40,"313,532",96,2,0,63,170,22,2,2
13,1,2,179,26,9,30,"313,532",96,3,0,56,171,19,3,2
25,1,4,179,22,17,40,"313,532",96,2,0,63,170,22,2,2
10,1,5,289,48,29,49,"313,532",96,1,0,108,172,36,8,2
18,1,6,179,22,17,40,"313,532",96,2,0,63,170,22,3,2
27,1,2,179,26,9,30,"313,532",96,3,0,56,171,19,2,2
18,1,3,155,12,14,34,"313,532",96,1,1,95,196,25,8,2
27,1,4,179,26,9,30,"313,532",96,3,0,56,171,19,2,2
27,1,4,179,51,18,38,"313,532",96,1,1,89,170,31,3,2
13,1,4,289,36,13,33,"313,532",96,1,1,90,172,30,8,2
27,1,5,179,51,18,38,"313,532",96,1,1,89,170,31,3,2
27,1,6,179,51,18,38,"313,532",96,1,1,89,170,31,2,2
13,2,3,179,51,18,38,"264,249",97,1,1,89,170,31,8,2
23,2,3,225,26,9,28,"264,249",97,1,0,69,169,24,3,2
1,2,4,248,25,14,47,"264,249",97,1,0,86,165,32,8,2
27,2,4,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
28,2,5,225,26,9,28,"264,249",97,1,0,69,169,24,3,2
27,2,5,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
27,2,5,179,26,9,30,"264,249",97,3,0,56,171,19,2,2
28,2,6,225,15,15,41,"264,249",97,4,1,94,182,28,2,2
27,2,6,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
19,2,2,233,51,1,31,"264,249",97,2,1,68,178,21,2,2
27,2,2,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
7,2,3,225,26,9,28,"264,249",97,1,0,69,169,24,8,2
27,2,4,179,51,18,38,"264,249",97,1,1,89,170,31,3,2
27,2,5,179,51,18,38,"264,249",97,1,1,89,170,31,3,2
25,2,5,225,26,9,28,"264,249",97,1,0,69,169,24,3,2
13,2,5,179,26,9,30,"264,249",97,3,0,56,171,19,2,2
23,2,6,179,22,17,40,"264,249",97,2,0,63,170,22,2,2
27,2,6,179,51,18,38,"264,249",97,1,1,89,170,31,3,2
12,2,4,233,51,1,31,"264,249",97,2,1,68,178,21,3,2
27,2,4,179,26,9,30,"264,249",97,3,0,56,171,19,2,2
27,2,4,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
13,2,5,179,51,18,38,"264,249",97,1,1,89,170,31,8,2
27,2,6,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
25,2,2,155,12,14,34,"264,249",97,1,1,95,196,25,5,2
25,2,2,235,16,8,32,"264,249",97,3,0,75,178,25,3,2
27,2,2,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
7,2,2,225,26,9,28,"264,249",97,1,0,69,169,24,2,2
27,2,3,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
23,2,3,248,25,14,47,"264,249",97,1,0,86,165,32,2,2
25,2,3,225,26,9,28,"264,249",97,1,0,69,169,24,2,2
27,2,4,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
27,2,5,179,51,18,38,"264,249",97,1,1,89,170,31,2,2
25,2,6,235,16,8,32,"264,249",97,3,0,75,178,25,2,2
27,3,2,179,51,18,38,"222,196",99,1,1,89,170,31,2,2
23,3,2,248,25,14,47,"222,196",99,1,0,86,165,32,2,2
25,3,3,228,14,16,58,"222,196",99,1,0,65,172,22,3,2
25,3,3,248,25,14,47,"222,196",99,1,0,86,165,32,3,2
12,3,3,228,14,16,58,"222,196",99,1,0,65,172,22,112,2
27,3,4,179,51,18,38,"222,196",99,1,1,89,170,31,2,2
27,3,5,225,26,9,28,"222,196",99,1,0,69,169,24,2,2
27,3,5,179,51,18,38,"222,196",99,1,1,89,170,31,3,2
25,3,5,225,26,9,28,"222,196",99,1,0,69,169,24,2,2
27,3,6,179,26,9,30,"222,196",99,3,0,56,171,19,3,2
25,3,2,235,16,8,32,"222,196",99,3,0,75,178,25,3,2
19,3,2,361,52,3,28,"222,196",99,1,1,80,172,27,8,2
13,3,3,179,51,18,38,"222,196",99,1,1,89,170,31,8,2
27,3,4,179,51,18,38,"222,196",99,1,1,89,170,31,2,2
27,3,5,179,51,18,38,"222,196",99,1,1,89,170,31,3,2
27,3,6,179,26,9,30,"222,196",99,3,0,56,171,19,2,2
10,3,2,179,51,18,38,"222,196",99,1,1,89,170,31,4,2
13,3,2,248,25,14,47,"222,196",99,1,0,86,165,32,2,2
27,3,2,179,51,18,38,"222,196",99,1,1,89,170,31,3,2
7,3,2,225,26,9,28,"222,196",99,1,0,69,169,24,8,2
27,3,3,179,51,18,38,"222,196",99,1,1,89,170,31,2,2
23,3,4,289,36,13,33,"222,196",99,1,1,90,172,30,8,2
25,3,4,228,14,16,58,"222,196",99,1,0,65,172,22,2,2
27,3,4,179,51,18,38,"222,196",99,1,1,89,170,31,2,2
23,3,5,248,25,14,47,"222,196",99,1,0,86,165,32,3,2
27,3,5,179,51,18,38,"222,196",99,1,1,89,170,31,3,2
23,3,6,179,26,9,30,"222,196",99,3,0,56,171,19,2,2
27,3,6,179,51,18,38,"222,196",99,1,1,89,170,31,3,2
27,3,3,179,51,18,38,"222,196",99,1,1,89,170,31,3,3
23,3,4,118,15,24,46,"222,196",99,1,1,75,175,25,8,3
13,3,4,155,12,14,34,"222,196",99,1,1,95,196,25,24,3
27,3,4,179,51,18,38,"222,196",99,1,1,89,170,31,3,3
27,3,5,179,51,18,38,"222,196",99,1,1,89,170,31,3,3
13,3,2,179,26,9,30,"222,196",99,3,0,56,171,19,2,3
19,3,2,289,36,13,33,"222,196",99,1,1,90,172,30,104,3
22,3,4,369,17,12,31,"222,196",99,1,1,70,169,25,8,3
13,4,2,225,26,9,28,"246,288",91,1,0,69,169,24,8,3
10,4,2,118,10,10,37,"246,288",91,1,0,83,172,28,8,3
19,4,3,361,52,3,28,"246,288",91,1,1,80,172,27,8,3
19,4,4,248,25,14,47,"246,288",91,1,0,86,165,32,8,3
13,4,5,189,29,13,33,"246,288",91,1,0,69,167,25,8,3
27,4,6,179,26,9,30,"246,288",91,3,0,56,171,19,2,3
7,4,2,369,17,12,31,"246,288",91,1,1,70,169,25,24,3
16,4,3,179,22,17,40,"246,288",91,2,0,63,170,22,2,3
23,4,3,118,13,18,50,"246,288",91,1,1,98,178,31,3,3
23,4,3,361,52,3,28,"246,288",91,1,1,80,172,27,2,3
10,4,4,118,10,10,37,"246,288",91,1,0,83,172,28,2,3
22,4,6,235,11,14,37,"246,288",91,3,0,88,172,29,8,3
27,4,6,179,26,9,30,"246,288",91,3,0,56,171,19,2,3
19,4,2,225,26,9,28,"246,288",91,1,0,69,169,24,8,3
16,4,3,235,16,8,32,"246,288",91,3,0,75,178,25,3,3
27,4,6,179,26,9,30,"246,288",91,3,0,56,171,19,2,3
28,4,3,155,12,14,34,"246,288",91,1,1,95,196,25,4,3
19,4,5,225,26,9,28,"246,288",91,1,0,69,169,24,8,3
14,4,5,118,13,18,50,"246,288",91,1,1,98,178,31,2,3
27,4,6,179,26,9,30,"246,288",91,3,0,56,171,19,2,3
22,5,2,235,11,14,37,"237,656",99,3,0,88,172,29,8,3
19,5,4,225,15,15,41,"237,656",99,4,1,94,182,28,3,3
28,5,4,235,16,8,32,"237,656",99,3,0,75,178,25,2,3
8,5,4,118,10,10,37,"237,656",99,1,0,83,172,28,3,3
26,5,4,235,20,13,43,"237,656",99,1,1,106,167,38,8,3
13,5,5,179,26,9,30,"237,656",99,3,0,56,171,19,1,3
28,5,5,291,31,12,40,"237,656",99,1,1,73,171,25,2,3
14,5,5,225,15,15,41,"237,656",99,4,1,94,182,28,8,3
19,5,6,300,26,13,43,"237,656",99,1,1,77,175,25,64,3
22,5,6,225,15,15,41,"237,656",99,4,1,94,182,28,8,3
27,5,6,179,26,9,30,"237,656",99,3,0,56,171,19,2,3
23,5,2,118,13,18,50,"237,656",99,1,1,98,178,31,2,3
5,5,3,118,13,18,50,"237,656",99,1,1,98,178,31,3,3
28,5,3,118,10,10,37,"237,656",99,1,0,83,172,28,1,3
0,5,3,118,13,18,50,"237,656",99,1,1,98,178,31,0,3
27,5,4,179,26,9,30,"237,656",99,3,0,56,171,19,2,3
0,5,4,378,49,11,36,"237,656",99,1,0,65,174,21,0,3
16,5,6,179,22,17,40,"237,656",99,2,0,63,170,22,1,3
10,5,2,155,12,14,34,"237,656",99,1,1,95,196,25,48,3
10,5,2,235,16,8,32,"237,656",99,3,0,75,178,25,8,3
22,5,4,291,31,12,40,"237,656",99,1,1,73,171,25,8,3
10,5,4,179,22,17,40,"237,656",99,2,0,63,170,22,8,3
6,5,4,225,26,9,28,"237,656",99,1,0,69,169,24,3,3
10,5,5,330,16,4,28,"237,656",99,2,0,84,182,25,8,3
23,5,5,235,16,8,32,"237,656",99,3,0,75,178,25,2,3
28,5,5,291,31,12,40,"237,656",99,1,1,73,171,25,2,3
27,5,6,179,26,9,30,"237,656",99,3,0,56,171,19,2,3
7,5,2,361,52,3,28,"237,656",99,1,1,80,172,27,8,3
23,5,4,155,12,14,34,"237,656",99,1,1,95,196,25,2,3
25,5,6,179,22,17,40,"237,656",99,2,0,63,170,22,8,3
10,5,6,155,12,14,34,"237,656",99,1,1,95,196,25,8,3
11,5,2,225,26,9,28,"237,656",99,1,0,69,169,24,1,3
7,6,4,118,15,24,46,"275,089",96,1,1,75,175,25,8,3
27,6,4,179,26,9,30,"275,089",96,3,0,56,171,19,3,3
26,6,6,118,10,10,37,"275,089",96,1,0,83,172,28,8,3
10,6,4,118,10,10,37,"275,089",96,1,0,83,172,28,8,3
22,6,5,378,49,11,36,"275,089",96,1,0,65,174,21,8,3
19,6,5,118,13,18,50,"275,089",96,1,1,98,178,31,24,3
19,6,6,233,51,1,31,"275,089",96,2,1,68,178,21,8,3
27,6,6,179,26,9,30,"275,089",96,3,0,56,171,19,2,3
0,6,2,235,29,12,48,"275,089",96,1,0,88,163,33,0,3
0,6,2,268,11,8,33,"275,089",96,2,0,79,178,25,0,3
19,6,5,118,13,18,50,"275,089",96,1,1,98,178,31,3,3
13,6,5,179,26,9,30,"275,089",96,3,0,56,171,19,2,3
28,6,5,291,31,12,40,"275,089",96,1,1,73,171,25,2,3
13,6,2,179,26,9,30,"275,089",96,3,0,56,171,19,3,1
25,6,2,118,10,10,37,"275,089",96,1,0,83,172,28,3,1
22,6,5,233,51,1,31,"275,089",96,2,1,68,178,21,8,1
8,6,6,118,10,10,37,"275,089",96,1,0,83,172,28,2,1
10,6,4,118,10,10,37,"275,089",96,1,0,83,172,28,3,1
22,6,4,233,51,1,31,"275,089",96,2,1,68,178,21,3,1
26,7,4,235,20,13,43,"264,604",93,1,1,106,167,38,4,1
19,7,6,233,51,1,31,"264,604",93,2,1,68,178,21,2,1
6,7,2,228,14,16,58,"264,604",93,1,0,65,172,22,8,1
28,7,2,118,10,10,37,"264,604",93,1,0,83,172,28,4,1
6,7,3,228,14,16,58,"264,604",93,1,0,65,172,22,120,1
22,7,3,189,29,13,33,"264,604",93,1,0,69,167,25,16,1
23,7,4,118,10,10,37,"264,604",93,1,0,83,172,28,2,1
22,7,4,361,52,3,28,"264,604",93,1,1,80,172,27,8,1
22,7,4,225,26,9,28,"264,604",93,1,0,69,169,24,8,1
13,7,2,369,17,12,31,"264,604",93,1,1,70,169,25,80,1
14,7,3,289,36,13,33,"264,604",93,1,1,90,172,30,8,1
11,7,3,235,11,14,37,"264,604",93,3,0,88,172,29,4,1
0,0,3,118,14,13,40,"271,219",95,1,1,98,170,34,0,1
0,0,4,231,35,14,39,"271,219",95,1,1,100,170,35,0,2
0,0,6,179,45,14,53,"271,219",95,1,0,77,175,25,0,3

